Год_выпуска,Жанр,Название,Режиссёр,Страна
1959,,01-99,Амасий Мартиросян,СССР
1958,игровое кино,«Чудотворец» из Бирюлёва,Борис Эпштейн,СССР
1972,"драма, военный",…и передайте привет ласточкам,Яромил Йиреш,Чехословакия
2017,"драма, мелодрама",1 миля до тебя,Лейф Тильден,США
2017,криминальный,1 % (фильм),Стив МакКаллум,Австралия
1976,"драма, ,, приключения",«SOS» над тайгой,,СССР
2023,"комедия, фантастика, мелодрамма",(Не)идеальные роботы,,США
2004,порнофильм,1 Night in China,,США
2016,"документальный, драма, комедия",0-41*,Сенна Хегде,Индия
2013,документальный,1 (документальный фильм),Пол Краудер,США
1965,"драма, военный, арт-хаус",…а пятый всадник — Страх,Збынек Брыных,Чехословакия
1965,"драма, комедия",4 x 4 (фильм),,
"7 апреля, 2011","драматический фильм, [1]",? (фильм),"Ханун Брамантйо, [d], [1]",Индонезия
1963,"драма, ,, исторический, ,, военный",55 дней в Пекине,Николас Рэй,США
2007,драма,"4 месяца, 3 недели и 2 дня",Кристиан Мунджиу,Румыния
2007,документальный фильм,55 (фильм),Никита Михалков,Россия
2011,"фантастика, фильм ужасов",51 (фильм),Джейсон Коннери,США
2006,Драма,50 таблеток,Тео Эвгерино,США
2004,романтическая комедия,50 первых поцелуев,Питер Сигал,США
2003,"боевик, драма, криминал.",44 минуты,Ив Симоно.,США
2005,драма,50 оттенков голубого,Стюарт Мейн,Новая Зеландия
1933,"комедия, мюзикл, мелодрама",42-я улица (фильм),,США
2006,драма,45-й калибр,Гари Леннон,США
1962,"драма, ,, приключения","49 дней (фильм, 1962)",Генрих Габай,СССР
2015,драма,45 лет,"Эндрю Хэйг, [en]",Великобритания
2013,"фэнтези, боевик, драма","47 ронинов (фильм, 2013)",Карл Ринш,
"12 апреля, 2013, и, 8 августа, 2013, [1]","драма, спортивный фильм",42 (фильм),Брайан Хелгеленд,"США, [2], [3]"
2009,драма,40-я дверь,Эльчин Мусаоглу,Азербайджан
2002,кинокомедия,40 дней и 40 ночей,Майкл Леманн,США
2007,"детектив, /, триллер","40 (фильм, 2007)",Александр Галибин,Россия
1959,"исторический фильм, военный, экранизация",39-я бригада (фильм),Карой Макк,Венгрия
2004,"драма, боевик, военный",38-я параллель (фильм),Кан Джегю,Республика Корея
1977,"боевик, комедия, драма",36 безумных кулаков,Чэнь Чжихуа,Гонконг
1981,Фильм-катастрофа,34-й скорый,Андрей Малюков,СССР
2015,"военный фильм, драма",1944 (фильм),"Эльмо Нюганен, [1]",
1971,комедия,А теперь нечто совсем другое,Иан Макнафтон,Великобритания
1972,,А пароходы гудят и уходят…,"Рубен Мурадян, [d]",СССР
1981,,"А ну-ка, дедушки!",,
1983,,А кто я на этот раз?,Джонатан Демми,США
1991,комедия,А как же Боб?,Фрэнк Оз,США
2015,"драма, военный",А зори здесь тихие...,Ренат Давлетьяров,Россия
1972,"драма, военный, экранизация","А зори здесь тихие (фильм, 1972)",Станислав Ростоцкий,СССР
1916,драма,А защищал её Плевако,Николай Козловский,Российская империя
2017,"драма, комедия",Автор (фильм),Мануэль Мартин Куенка,
1908,,Автопробег «Париж — Нью-Йорк»,Жорж Мельес,
"1906, [1], [2]",драма,Автомобильные воры,Дж. Стюарт Блэктон,США
1974,"комедия, музыкальный фильм, сказка","Автомобиль, скрипка и собака Клякса",Ролан Быков,СССР
"13 мая, 1977, [1], ,, 13 августа, 1977, [1], ,, 15 сентября, 1977, [1], ,, 28 сентября, 1977, [1], ,, 10 октября, 1977, [1], ,, 10 ноября, 1977, [1], ,, 23 ноября, 1977, [1], ,, 22 декабря, 1977, [1], ,, 23 декабря, 1977, [1], ,, 19 января, 1978, [1], ,, 2 июня, 1978, [1], ,, 22 июня, 1978, [1], ,, 4 мая, 1979, [1], и, февраль, 1980, [1]","фильм ужасов, фильм-тайна, фильм-триллер","Автомобиль (фильм, 1977)","Эллиот Силверштейн, [d]",США
1974,"фильм ужасов, /, комедия","Автомобили, которые съели Париж",Питер Уир,Австралия
1980,"исторический, комедия, драма, экранизация",Автомобиль на крыше,Дмитрий Кесаянц,СССР
2021,документальный фильм,Автомат (фильм),Лиза Гурвиц,США
1956,"комедийная, драма",Автобусная остановка (фильм),Джошуа Логан,США
1954,"драма, ,, соцреализм",Автобус отходит в 6.20,Ян Рыбковский,Польша
1961,,"Автобус (фильм, 1961)",Арне Скуэн,Норвегия
2016,боевик,Автобан (фильм),"Эрен Криви, [en]",
1991,драма,Австрийское поле,Андрей Черных,СССР
1989,"драма, исторический фильм",Австрийка (фильм),Пьер Гранье-Дефер,Франция
"17 мая, 1996, [1], ,, 4 октября, 1996, [1], ,, 31 октября, 1996, [2], и, 1996","драма, ,, триллер",Автокатастрофа (фильм),Дэвид Кроненберг,
"26 ноября, 2008, [1], ,, 25 декабря, 2008, [2], и, 25 декабря, 2008, [3]","эпическая, драма",Австралия (фильм),Баз Лурман,
